"","Date","ch.average.int.rates.nl.br.ch","ch.average.int.rates.linked.br.ch","ch.average.fixed.int.rates.ch","Apartment.buildings.2.ch","private.apartements.ch","single.family.houses.ch","apartment.buildings.ch","total.house.prices.average.ch"
"37",2018-01-01,2.725,0.998,1.2570000002,146.5750863,194.900735775,170.434104725,145.920850466667,170.636642266667
"38",2018-04-01,2.7041666668,0.9569999998,1.2426666668,145.809595,195.49489865,171.7422645,145.782341066667,171.01558605
"39",2018-07-01,2.75,0.9452666666,1.1983666664,145.5489321,195.8025696,173.173149025,144.495133966667,171.508216908333
"40",2018-10-01,2.5220000002,0.9523333334,1.1553333332,142.6084965,195.568382475,173.89988335,144.553986033333,170.692254108333
"41",2019-01-01,2.5158999998,0.9453333332,1.0896666664,142.6249973,195.735830575,174.141828675,146.1491041,170.83421885
"42",2019-04-01,2.5022333334,0.9156666666,1.0366666668,142.9017285,197.523375775,175.376108325,147.847199866667,171.933737533333
"43",2019-07-01,2.5062,0.885,1.0053333334,143.9035657,198.26088285,175.51538785,148.931499266667,172.559945466667
"44",2019-10-01,2.5246666668,0.909,1.0053333334,144.7020523,198.4472092,176.6199015,150.282248033333,173.256387666667
"45",2020-01-01,2.5233333334,0.8723666668,1.009,145.8750357,199.343853675,178.623796725,151.389466433333,174.6142287
"46",2020-04-01,2.5136666666,0.8565,1.0293333334,148.7010844,201.32641985,181.139941825,152.029500066667,177.055815358333
"47",2020-07-01,2.5196,0.8686666666,0.993,149.9704428,203.194881325,183.070333375,151.132990033333,178.745219166667
"48",2020-10-01,2.3011666666,0.85,0.9833333334,149.2690125,206.366771875,185.03978455,151.8288991,180.225189641667
"49",2021-01-01,2.2996666666,0.847,0.9909999998,149.3760885,208.38133905,187.812980875,152.207900166667,181.856802808333
"50",2021-04-01,2.2949,0.8826666668,1.0293333334,155.6239634,210.672898575,191.17816885,155.085312966667,185.825010275
"51",2021-07-01,2.2591333334,0.8573333332,1.0193333334,159.7462249,212.8888709,194.270971775,158.6981205,188.968689191667
"52",2021-10-01,2.2412666666,0.8424,1.1073333336,159.5988791,215.211877625,197.3845791,161.5679035,190.731778608333
"53",2022-01-01,2.2708333334,0.8573333334,1.3766666666,163.3282165,218.737015575,200.160813875,164.3488043,194.07534865
"54",2022-04-01,2.275,0.903,1.5425,161.2558506,221.850427875,203.068983975,163.1499815,195.39175415
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2022-07-01,NA,NA,NA,161.2558506,224.36606335,205.742461275,163.073836666667,197.121458408333
