"","Date","ch.average.int.rates.nl.br.ch","ch.average.int.rates.linked.br.ch","ch.average.fixed.int.rates.ch","private.apartements.average.ch","single.family.houses.average.ch","apartment.buildings.average.ch","total.house.prices.average.ch"
"18",2013-04-01,2.79166666675,1.0286666666,1.6403999998,182.38993805,157.6008893,118.5243249,151.45581195
"19",2013-07-01,2.8,1.0060466666,1.5794,182.880083475,157.4393552,119.6846006,151.864139958333
"20",2013-10-01,2.7645833335,1.00086,1.5923333332,184.598337025,159.50207535,120.767475166667,153.751558825
"21",2014-01-01,2.7791666665,1.03076,1.4603333334,186.69330925,159.8557348,122.519068166667,155.507219316667
"22",2014-04-01,2.78437500025,1.0564933332,1.4103333332,187.69938315,161.58196515,124.068199766667,157.294929533333
"23",2014-07-01,2.75833333325,1.0091533334,1.388,188.772285875,161.290667525,125.9119017,158.402527633333
"24",2014-10-01,2.7791666665,0.9876666668,1.2528333336,189.16210415,162.13675845,125.763490366667,158.581147166667
"25",2015-01-01,2.75625,1.0003333336,1.2926666666,189.9929783,163.38835465,128.828379433333,160.290643083333
"26",2015-04-01,2.77083333325,1.0883333334,1.3103333336,189.994159325,164.768682625,130.0733956,161.742288683333
"27",2015-07-01,2.72916666675,1.0406999998,1.3189999998,191.00440465,165.54893195,130.460112766667,162.9608986
"28",2015-10-01,2.76041666675,1.0350866666,1.2501666666,191.769047325,164.83880125,134.5609607,167.545804125
"29",2016-01-01,2.73958333325,1.1003333332,1.22,193.844111875,165.317570375,136.540417666667,167.294671883333
"30",2016-04-01,2.7604166665,1.033,1.2093333334,191.104314525,166.16321965,136.816704033333,166.742111358333
"31",2016-07-01,2.75,1.027,1.2349999998,191.845986275,165.155639525,136.094684066667,166.2190369
"32",2016-10-01,2.73958333325,1.0025000002,1.236,190.962228075,166.131041925,137.123467266667,167.104896866667
"33",2017-01-01,2.74583333325,0.954,1.2269999998,189.010971675,164.8065207,138.123446,166.716137791667
"34",2017-04-01,2.75,0.9968333334,1.2316666666,190.110236425,166.41236405,138.901788666667,168.321007325
"35",2017-07-01,2.75,0.9813333332,1.2225,191.430260775,167.9957237,141.9443011,168.140381725
"36",2017-10-01,2.76041666675,0.949,1.2256666666,194.0529222,168.89848065,143.748759066667,169.64125825
"37",2018-01-01,2.75,0.998,1.2570000002,194.900735775,170.434104725,145.920850466667,170.636642266667
"38",2018-04-01,2.7239583335,0.9569999998,1.2426666668,195.49489865,171.7422645,145.782341066667,171.01558605
"39",2018-07-01,2.75,0.9452666666,1.1983666664,195.8025696,173.173149025,144.495133966667,171.508216908333
"40",2018-10-01,2.65250000025,0.9523333334,1.1553333332,195.568382475,173.89988335,144.553986033333,170.692254108333
"41",2019-01-01,2.64487499975,0.9453333332,1.0896666664,195.735830575,174.141828675,146.1491041,170.83421885
"42",2019-04-01,2.62779166675,0.9156666666,1.0366666668,197.523375775,175.376108325,147.847199866667,171.933737533333
"43",2019-07-01,2.63275,0.885,1.0053333334,198.26088285,175.51538785,148.931499266667,172.559945466667
"44",2019-10-01,2.6558333335,0.909,1.0053333334,198.4472092,176.6199015,150.282248033333,173.256387666667
"45",2020-01-01,2.65416666675,0.8723666668,1.009,199.343853675,178.623796725,151.389466433333,174.6142287
"46",2020-04-01,2.64208333325,0.8565,1.0293333334,201.32641985,181.139941825,152.029500066667,177.055815358333
"47",2020-07-01,2.6495,0.8686666666,0.993,203.194881325,183.070333375,151.132990033333,178.745219166667
"48",2020-10-01,2.62645833325,0.85,0.9833333334,206.366771875,185.03978455,151.8288991,180.225189641667
"49",2021-01-01,2.62458333325,0.847,0.9909999998,208.38133905,187.812980875,152.207900166667,181.856802808333
"50",2021-04-01,2.618625,0.8826666668,1.0293333334,210.672898575,191.17816885,155.085312966667,185.825010275
"51",2021-07-01,2.57391666675,0.8573333332,1.0193333334,212.8888709,194.270971775,158.6981205,188.968689191667
"52",2021-10-01,2.55158333325,0.8424,1.1073333336,215.211877625,197.3845791,161.5679035,190.731778608333
"53",2022-01-01,2.58854166675,0.8573333334,1.3766666666,218.737015575,200.160813875,164.3488043,194.07534865
"54",2022-04-01,2.59375,0.903,1.5425,221.850427875,203.068983975,163.1499815,195.39175415
